record_id,datetime,date,time,month,day_of_week,hour,is_weekend,is_rush_hour,festival_season,origin_city,destination_city,origin_region,mode,operator,season,rainfall_mm,temperature_c,humidity_pct,distance_km,passenger_count,incident_type,congestion_level,travel_time_min,delay_min,is_anomaly,origin_lat,origin_lon,dest_lat,dest_lon
2465,2024-09-26 22:00:00,2024-09-26,22:00:00,9,3,22,0,0,NoFestival,Kandy,Trincomalee,Central,Train,Sri Lanka Railways,Southwest monsoon,,26.2,79.7,157.8,207.0,NoIncident,58.0,273.0,107.3,1,7.2906,80.6337,8.5874,81.2152
229,2025-03-21 17:00:00,2025-03-21,17:00:00,3,4,17,0,1,NoFestival,Anuradhapura,Negombo,NorthCentral,Bus,Private,Inter-monsoon,3.17,29.7,74.6,137.7,37.0,NoIncident,44.0,374.0,117.6,1,8.3114,80.4037,7.2083,79.8358
916,2024-09-18 18:00:00,2024-09-18,18:00:00,9,2,18,0,1,NoFestival,Anuradhapura,Colombo,NorthCentral,Private vehicle,Private,Southwest monsoon,0.0,30.2,59.4,165.1,1.0,NoIncident,73.0,584.2,277.3,1,8.3114,80.4037,6.9271,79.8612
795,2025-09-20 06:00:00,2025-09-20,06:00:00,9,5,6,1,0,NoFestival,Galle,Ratnapura,Southwest,Motorcycle,Private,Southwest monsoon,0.0,30.4,63.2,77.2,1.0,NoIncident,34.0,169.8,39.4,0,6.032,80.2168,6.7056,80.3847
3022,2024-07-30 09:00:00,2024-07-30,09:00:00,7,1,9,0,1,NoFestival,Trincomalee,Kandy,East,Private vehicle,Private,Southwest monsoon,5.33,31.6,78.9,157.8,1.0,NoIncident,42.0,340.0,97.2,1,8.5874,81.2152,7.2906,80.6337
3544,2024-06-26 17:00:00,2024-06-26,17:00:00,6,2,17,0,1,NoFestival,Jaffna,Kandy,North,Bus,Private,Southwest monsoon,2.17,29.3,70.9,272.0,48.0,NoIncident,33.0,492.6,105.4,1,9.6615,80.0255,7.2906,80.6337
1074,2025-04-23 12:00:00,2025-04-23,12:00:00,4,2,12,0,0,NoFestival,Batticaloa,Anuradhapura,East,Motorcycle,Private,Inter-monsoon,5.58,30.6,70.9,157.3,1.0,NoIncident,29.0,240.1,37.9,0,7.717,81.7,8.3114,80.4037
3352,2025-04-14 12:00:00,2025-04-14,12:00:00,4,0,12,0,0,Sinhala & Tamil New Year,Kandy,Anuradhapura,Central,Train,Sri Lanka Railways,Inter-monsoon,0.84,26.1,,116.3,226.0,NoIncident,53.0,139.2,53.5,0,7.2906,80.6337,8.3114,80.4037
1745,2025-12-14 19:00:00,2025-12-14,19:00:00,12,6,19,1,1,NoFestival,Trincomalee,Negombo,East,Train,Sri Lanka Railways,Northeast monsoon,6.31,30.7,82.8,215.9,274.0,NoIncident,37.0,289.3,82.2,1,8.5874,81.2152,7.2083,79.8358
1085,2024-05-09 19:00:00,2024-05-09,19:00:00,5,3,19,0,1,NoFestival,Kandy,Negombo,Central,Private vehicle,Private,Southwest monsoon,1.71,24.3,70.6,88.5,1.0,NoIncident,67.0,145.2,62.0,1,7.2906,80.6337,7.2083,79.8358
927,2024-06-23 19:00:00,2024-06-23,19:00:00,6,6,19,1,1,NoFestival,Jaffna,Anuradhapura,North,Train,Sri Lanka Railways,Southwest monsoon,0.0,31.1,74.4,155.8,214.0,NoIncident,43.0,265.0,74.5,1,9.6615,80.0255,8.3114,80.4037
3050,2024-07-11 13:00:00,2024-07-11,13:00:00,7,3,13,0,0,NoFestival,Ratnapura,Anuradhapura,Southwest,Train,Sri Lanka Railways,Southwest monsoon,9.35,30.4,70.5,178.6,160.0,NoIncident,26.0,203.7,34.2,0,6.7056,80.3847,8.3114,80.4037
1118,2025-05-05 04:00:00,2025-05-05,04:00:00,5,0,4,0,0,NoFestival,Anuradhapura,Trincomalee,NorthCentral,Private vehicle,Private,Southwest monsoon,0.0,28.9,80.0,94.4,2.0,NoIncident,43.0,126.6,36.5,0,8.3114,80.4037,8.5874,81.2152
643,2025-10-22 21:00:00,2025-10-22,21:00:00,10,2,21,0,0,NoFestival,Batticaloa,Galle,East,Bus,SLTB,Northeast monsoon,18.3,29.5,66.3,248.8,41.0,NoIncident,40.0,600.0,95.3,1,7.717,81.7,6.032,80.2168
4768,2024-12-20 12:00:00,2024-12-20,12:00:00,12,4,12,0,0,Christmas/New Year,Anuradhapura,Galle,NorthCentral,Private vehicle,Private,Northeast monsoon,12.85,26.4,68.4,254.3,1.0,NoIncident,48.0,408.6,141.8,1,8.3114,80.4037,6.032,80.2168
502,2024-05-28 23:00:00,2024-05-28,23:00:00,5,1,23,0,0,NoFestival,Colombo,Batticaloa,Southwest,Private vehicle,Private,Southwest monsoon,21.02,28.9,86.9,221.0,1.0,NoIncident,81.0,600.0,327.7,1,6.9271,79.8612,7.717,81.7
4067,2024-03-05 16:00:00,2024-03-05,16:00:00,3,1,16,0,0,NoFestival,Colombo,Negombo,Southwest,Train,Sri Lanka Railways,Inter-monsoon,6.22,32.1,70.7,31.4,134.0,NoIncident,68.0,55.2,24.4,0,6.9271,79.8612,7.2083,79.8358
334,2024-07-20 18:00:00,2024-07-20,18:00:00,7,5,18,1,1,NoFestival,Batticaloa,Colombo,East,Private vehicle,Private,Southwest monsoon,7.6,30.0,74.6,221.0,2.0,NoIncident,42.0,416.1,124.1,1,7.717,81.7,6.9271,79.8612
4685,2025-07-05 18:00:00,2025-07-05,18:00:00,7,5,18,1,1,NoFestival,Trincomalee,Ratnapura,East,Bus,SLTB,Southwest monsoon,1.85,29.6,,228.4,52.0,NoIncident,32.0,471.7,104.7,1,8.5874,81.2152,6.7056,80.3847
487,2024-05-08 15:00:00,2024-05-08,15:00:00,5,2,15,0,0,NoFestival,Anuradhapura,Galle,NorthCentral,Train,Sri Lanka Railways,Southwest monsoon,2.44,29.6,69.4,254.3,208.0,NoIncident,36.0,300.7,71.2,1,8.3114,80.4037,6.032,80.2168
1963,2024-09-23 22:00:00,2024-09-23,22:00:00,9,0,22,0,0,NoFestival,Ratnapura,Kurunegala,Southwest,Train,Sri Lanka Railways,Southwest monsoon,0.0,28.6,56.6,86.8,228.0,NoIncident,40.0,108.4,28.2,0,6.7056,80.3847,7.4863,80.3623
394,2025-04-15 03:00:00,2025-04-15,03:00:00,4,1,3,0,0,Sinhala & Tamil New Year,Batticaloa,Colombo,East,Private vehicle,Private,Inter-monsoon,0.0,32.2,,221.0,3.0,NoIncident,48.0,451.1,137.6,1,7.717,81.7,6.9271,79.8612
4843,2024-01-30 08:00:00,2024-01-30,08:00:00,1,1,8,0,1,NoFestival,Kurunegala,Kandy,Northwest,Bus,Private,Northeast monsoon,1.44,29.3,81.7,37.0,32.0,NoIncident,61.0,110.4,41.6,0,7.4863,80.3623,7.2906,80.6337
4867,2024-10-13 11:00:00,2024-10-13,11:00:00,10,6,11,1,0,NoFestival,Batticaloa,Anuradhapura,East,Train,Sri Lanka Railways,Northeast monsoon,,27.5,72.9,157.3,265.0,NoIncident,23.0,179.3,23.6,0,7.717,81.7,8.3114,80.4037
1756,2024-07-30 07:00:00,2024-07-30,07:00:00,7,1,7,0,1,NoFestival,Anuradhapura,Ratnapura,NorthCentral,Bus,SLTB,Southwest monsoon,5.5,29.0,70.4,178.6,33.0,Accident,59.0,589.7,323.0,1,8.3114,80.4037,6.7056,80.3847
2516,2025-05-04 09:00:00,2025-05-04,09:00:00,5,6,9,1,1,NoFestival,Kurunegala,Batticaloa,Northwest,Tuk-tuk,Private,Southwest monsoon,0.0,27.5,63.8,149.7,1.0,NoIncident,49.0,406.8,126.9,1,7.4863,80.3623,7.717,81.7
3586,2025-05-11 18:00:00,2025-05-11,18:00:00,5,6,18,1,1,Vesak season,Colombo,Jaffna,Southwest,Tuk-tuk,Private,Southwest monsoon,6.72,29.5,70.1,304.6,,NoIncident,87.0,600.0,-5.0,0,6.9271,79.8612,9.6615,80.0255
4316,2025-11-28 20:00:00,2025-11-28,20:00:00,11,4,20,0,0,NoFestival,Anuradhapura,Galle,NorthCentral,Train,Sri Lanka Railways,Northeast monsoon,63.04,26.4,98.0,254.3,40.0,NoIncident,53.0,403.1,204.9,1,8.3114,80.4037,6.032,80.2168
4967,2024-12-23 08:00:00,2024-12-23,08:00:00,12,0,8,0,1,Christmas/New Year,Colombo,Trincomalee,Southwest,Bus,Private,Northeast monsoon,0.0,30.0,62.9,237.4,25.0,NoIncident,77.0,600.0,145.5,1,6.9271,79.8612,8.5874,81.2152
2100,2025-11-12 11:00:00,2025-11-12,11:00:00,11,2,11,0,0,NoFestival,Colombo,Ratnapura,Southwest,Tuk-tuk,Private,Northeast monsoon,,27.9,65.7,62.8,1.0,NoIncident,72.0,234.9,111.6,1,6.9271,79.8612,6.7056,80.3847
3600,2025-07-16 22:00:00,2025-07-16,22:00:00,7,2,22,0,0,NoFestival,Trincomalee,Jaffna,East,Private vehicle,Private,Southwest monsoon,8.16,30.2,78.6,177.0,1.0,NoIncident,31.0,281.4,67.1,1,8.5874,81.2152,9.6615,80.0255
4122,2025-01-03 23:00:00,2025-01-03,23:00:00,1,4,23,0,0,NoFestival,Jaffna,Kurunegala,North,Private vehicle,Private,Northeast monsoon,50.85,28.2,93.9,244.7,1.0,NoIncident,30.0,600.0,206.0,1,9.6615,80.0255,7.4863,80.3623
30,2025-07-06 23:00:00,2025-07-06,23:00:00,7,6,23,1,0,NoFestival,Colombo,Kurunegala,Southwest,Bus,Private,Southwest monsoon,5.78,31.1,70.3,83.2,56.0,NoIncident,71.0,263.2,123.7,1,6.9271,79.8612,7.4863,80.3623
66,2024-02-14 16:00:00,2024-02-14,16:00:00,2,2,16,0,0,NoFestival,Batticaloa,Jaffna,East,Bus,Private,Inter-monsoon,8.02,31.3,57.3,283.9,22.0,NoIncident,30.0,600.0,91.0,1,7.717,81.7,9.6615,80.0255
839,2024-04-21 19:00:00,2024-04-21,19:00:00,4,6,19,1,1,NoFestival,Trincomalee,Anuradhapura,East,Tuk-tuk,Private,Inter-monsoon,16.62,28.7,66.3,94.4,1.0,NoIncident,41.0,330.2,106.7,1,8.5874,81.2152,8.3114,80.4037
3907,2024-05-25 22:00:00,2024-05-25,22:00:00,5,5,22,1,0,NoFestival,Anuradhapura,Jaffna,NorthCentral,Bus,Private,Southwest monsoon,5.45,30.2,73.3,155.8,65.0,NoIncident,34.0,354.5,81.2,1,8.3114,80.4037,9.6615,80.0255
3774,2025-06-25 05:00:00,2025-06-25,05:00:00,6,2,5,0,0,NoFestival,Anuradhapura,Jaffna,NorthCentral,Bus,SLTB,Southwest monsoon,0.0,29.7,72.2,155.8,38.0,NoIncident,50.0,600.0,148.0,1,8.3114,80.4037,9.6615,80.0255
4636,2025-08-06 22:00:00,2025-08-06,22:00:00,8,2,22,0,0,NoFestival,Kandy,Negombo,Central,Train,Sri Lanka Railways,Southwest monsoon,0.0,26.9,70.8,88.5,274.0,NoIncident,27.0,124.2,21.9,0,7.2906,80.6337,7.2083,79.8358
3162,2024-01-20 10:00:00,2024-01-20,10:00:00,1,5,10,1,0,NoFestival,Galle,Kandy,Southwest,Bus,SLTB,Northeast monsoon,9.12,28.6,70.8,147.3,42.0,NoIncident,53.0,486.3,183.4,1,6.032,80.2168,7.2906,80.6337
2660,2024-02-13 00:00:00,2024-02-13,00:00:00,2,1,0,0,0,NoFestival,Kurunegala,Galle,Northwest,Bus,SLTB,Inter-monsoon,0.0,27.7,66.3,162.5,18.0,NoIncident,30.0,377.6,78.9,1,7.4863,80.3623,6.032,80.2168
4616,2025-12-21 10:00:00,2025-12-21,10:00:00,12,6,10,1,0,Christmas/New Year,Batticaloa,Kurunegala,East,Bus,Private,Northeast monsoon,36.26,29.0,78.8,149.7,43.0,NoIncident,45.0,431.9,171.6,1,7.717,81.7,7.4863,80.3623
4629,2024-08-06 08:00:00,2024-08-06,08:00:00,8,1,8,0,1,NoFestival,Ratnapura,Kandy,Southwest,Private vehicle,Private,Southwest monsoon,0.0,28.5,60.5,70.6,2.0,NoIncident,57.0,153.5,52.0,0,6.7056,80.3847,7.2906,80.6337
2452,2024-10-19 05:00:00,2024-10-19,05:00:00,10,5,5,1,0,NoFestival,Batticaloa,Kurunegala,East,Tuk-tuk,Private,Northeast monsoon,6.65,28.4,69.4,149.7,3.0,NoIncident,19.0,394.5,59.4,0,7.717,81.7,7.4863,80.3623
2847,2025-05-10 00:00:00,2025-05-10,00:00:00,5,5,0,1,0,Vesak season,Batticaloa,Ratnapura,East,Train,Sri Lanka Railways,Southwest monsoon,1.8,29.3,67.2,183.6,236.0,NoIncident,42.0,238.1,64.0,1,7.717,81.7,6.7056,80.3847
1145,2024-12-01 16:00:00,2024-12-01,16:00:00,12,6,16,1,0,NoFestival,Jaffna,Colombo,North,Private vehicle,Private,Northeast monsoon,11.96,26.5,67.9,304.6,2.0,NoIncident,32.0,600.0,78.7,1,9.6615,80.0255,6.9271,79.8612
3079,2024-07-15 04:00:00,2024-07-15,04:00:00,7,0,4,0,0,NoFestival,Ratnapura,Galle,Southwest,Bus,Private,Southwest monsoon,0.0,28.4,66.4,77.2,39.0,NoIncident,55.0,190.7,69.4,1,6.7056,80.3847,6.032,80.2168
1104,2025-09-03 06:00:00,2025-09-03,06:00:00,9,2,6,0,0,NoFestival,Batticaloa,Kandy,East,Private vehicle,Private,Southwest monsoon,5.23,30.5,65.0,126.8,1.0,NoIncident,40.0,243.0,67.8,1,7.717,81.7,7.2906,80.6337
169,2024-09-29 06:00:00,2024-09-29,06:00:00,9,6,6,1,0,NoFestival,Kandy,Jaffna,Central,Motorcycle,Private,Southwest monsoon,55.59,27.2,83.6,272.0,1.0,NoIncident,60.0,471.9,248.3,1,7.2906,80.6337,9.6615,80.0255
1671,2025-08-11 18:00:00,2025-08-11,18:00:00,8,0,18,0,1,NoFestival,Galle,Colombo,Southwest,Tuk-tuk,Private,Southwest monsoon,,29.9,67.5,107.0,1.0,NoIncident,80.0,557.2,312.5,1,6.032,80.2168,6.9271,79.8612
2571,2025-12-28 03:00:00,2025-12-28,03:00:00,12,6,3,1,0,Christmas/New Year,Batticaloa,Negombo,East,Bus,SLTB,Northeast monsoon,0.0,29.5,57.8,213.2,61.0,NoIncident,38.0,407.1,104.1,1,7.717,81.7,7.2083,79.8358
2378,2024-10-20 10:00:00,2024-10-20,10:00:00,10,6,10,1,0,NoFestival,Colombo,Galle,Southwest,Tuk-tuk,Private,Northeast monsoon,0.0,29.5,52.5,107.0,2.0,NoIncident,51.0,241.1,80.5,1,6.9271,79.8612,6.032,80.2168
4396,2024-05-21 23:00:00,2024-05-21,23:00:00,5,1,23,0,0,NoFestival,Colombo,Kandy,Southwest,Bus,Private,Southwest monsoon,22.99,28.3,79.6,94.3,36.0,NoIncident,63.0,339.1,157.0,1,6.9271,79.8612,7.2906,80.6337
4258,2024-07-22 07:00:00,2024-07-22,07:00:00,7,0,7,0,1,NoFestival,Negombo,Batticaloa,Southwest,Bus,Private,Southwest monsoon,0.0,29.1,68.2,213.2,41.0,NoIncident,78.0,600.0,214.9,1,7.2083,79.8358,7.717,81.7
3863,2024-08-28 20:00:00,2024-08-28,20:00:00,8,2,20,0,0,NoFestival,Galle,Kandy,Southwest,Train,Sri Lanka Railways,Southwest monsoon,59.8,30.0,80.3,147.3,229.0,NoIncident,67.0,336.1,192.4,1,6.032,80.2168,7.2906,80.6337
24,2024-01-05 00:00:00,2024-01-05,00:00:00,1,4,0,0,0,NoFestival,Colombo,Kandy,Southwest,Tuk-tuk,Private,Northeast monsoon,1.18,27.7,74.8,94.3,2.0,NoIncident,74.0,313.5,150.7,1,6.9271,79.8612,7.2906,80.6337
2634,2025-07-18 04:00:00,2025-07-18,04:00:00,7,4,4,0,0,NoFestival,Anuradhapura,Negombo,NorthCentral,Bus,Private,Southwest monsoon,0.0,30.3,61.6,137.7,36.0,NoIncident,23.0,288.4,42.2,0,8.3114,80.4037,7.2083,79.8358
3341,2024-01-19 04:00:00,2024-01-19,04:00:00,1,4,4,0,0,NoFestival,Trincomalee,Kandy,East,Motorcycle,Private,Northeast monsoon,14.83,27.7,74.1,157.8,1.0,NoIncident,38.0,296.0,86.7,1,8.5874,81.2152,7.2906,80.6337
2216,2024-05-29 16:00:00,2024-05-29,16:00:00,5,2,16,0,0,NoFestival,Trincomalee,Kandy,East,Motorcycle,Private,Southwest monsoon,1.25,30.2,53.5,157.8,1.0,Flooding,40.0,479.1,265.9,1,8.5874,81.2152,7.2906,80.6337
3683,2024-07-14 02:00:00,2024-07-14,02:00:00,7,6,2,1,0,NoFestival,Anuradhapura,Batticaloa,NorthCentral,Train,Sri Lanka Railways,Southwest monsoon,,29.1,69.0,157.3,280.0,NoIncident,28.0,152.5,29.5,0,8.3114,80.4037,7.717,81.7
4725,2025-09-10 19:00:00,2025-09-10,19:00:00,9,2,19,0,1,NoFestival,Colombo,Jaffna,Southwest,Bus,SLTB,Southwest monsoon,0.0,30.0,62.2,304.6,29.0,NoIncident,65.0,600.0,45.6,0,6.9271,79.8612,9.6615,80.0255
1908,2025-10-30 09:00:00,2025-10-30,09:00:00,10,3,9,0,1,NoFestival,Trincomalee,Ratnapura,East,Bus,Private,Northeast monsoon,0.0,28.9,69.0,228.4,38.0,NoIncident,46.0,600.0,45.0,0,8.5874,81.2152,6.7056,80.3847
85,2024-10-06 13:00:00,2024-10-06,13:00:00,10,6,13,1,0,NoFestival,Kurunegala,Kandy,Northwest,Tuk-tuk,Private,Northeast monsoon,0.0,28.2,71.9,37.0,1.0,NoIncident,18.0,74.4,10.3,0,7.4863,80.3623,7.2906,80.6337
228,2024-05-26 09:00:00,2024-05-26,09:00:00,5,6,9,1,1,NoFestival,Kurunegala,Galle,Northwest,Tuk-tuk,Private,Southwest monsoon,3.75,30.1,65.9,162.5,3.0,NoIncident,49.0,505.1,,1,7.4863,80.3623,6.032,80.2168
297,2024-08-27 13:00:00,2024-08-27,13:00:00,8,1,13,0,0,NoFestival,Galle,Negombo,Southwest,Private vehicle,Private,Southwest monsoon,6.36,28.6,70.5,137.4,2.0,NoIncident,54.0,184.8,68.6,1,6.032,80.2168,7.2083,79.8358
1002,2024-07-07 07:00:00,2024-07-07,07:00:00,7,6,7,1,1,NoFestival,Trincomalee,Galle,East,Private vehicle,Private,Southwest monsoon,,29.8,72.1,304.7,2.0,NoIncident,35.0,466.6,110.9,1,8.5874,81.2152,6.032,80.2168
2139,2025-09-25 08:00:00,2025-09-25,08:00:00,9,3,8,0,1,NoFestival,Kandy,Jaffna,Central,Motorcycle,Private,Southwest monsoon,13.24,27.2,81.3,272.0,2.0,NoIncident,83.0,502.8,281.2,1,7.2906,80.6337,9.6615,80.0255
712,2025-08-31 22:00:00,2025-08-31,22:00:00,8,6,22,1,0,NoFestival,Colombo,Jaffna,Southwest,Train,Sri Lanka Railways,Southwest monsoon,17.98,29.8,,304.6,240.0,NoIncident,62.0,408.2,182.0,1,6.9271,79.8612,9.6615,80.0255
2802,2024-04-27 06:00:00,2024-04-27,06:00:00,4,5,6,1,0,NoFestival,Colombo,Negombo,Southwest,Bus,SLTB,Inter-monsoon,,29.8,75.0,31.4,28.0,NoIncident,56.0,207.4,78.0,1,6.9271,79.8612,7.2083,79.8358
2528,2024-05-28 00:00:00,2024-05-28,00:00:00,5,1,0,0,0,NoFestival,Anuradhapura,Jaffna,NorthCentral,Private vehicle,Private,Southwest monsoon,0.0,26.8,69.9,155.8,,NoIncident,34.0,280.5,63.0,1,8.3114,80.4037,9.6615,80.0255
3753,2025-04-19 01:00:00,2025-04-19,01:00:00,4,5,1,1,0,Sinhala & Tamil New Year,Negombo,Kandy,Southwest,Private vehicle,Private,Inter-monsoon,0.0,28.8,75.8,88.5,2.0,NoIncident,51.0,134.9,42.0,0,7.2083,79.8358,7.2906,80.6337
3322,2024-12-23 12:00:00,2024-12-23,12:00:00,12,0,12,0,0,Christmas/New Year,Colombo,Batticaloa,Southwest,Train,Sri Lanka Railways,Northeast monsoon,13.34,29.9,80.1,221.0,154.0,NoIncident,,372.7,178.4,1,6.9271,79.8612,7.717,81.7
3182,2024-12-05 03:00:00,2024-12-05,03:00:00,12,3,3,0,0,NoFestival,Galle,Trincomalee,Southwest,Private vehicle,Private,Northeast monsoon,7.74,27.3,73.6,304.7,2.0,NoIncident,26.0,422.9,81.3,1,6.032,80.2168,8.5874,81.2152
4184,2024-05-07 15:00:00,2024-05-07,15:00:00,5,1,15,0,0,NoFestival,Kurunegala,Batticaloa,Northwest,Private vehicle,Private,Southwest monsoon,4.36,28.0,67.5,149.7,2.0,NoIncident,33.0,363.2,87.0,1,7.4863,80.3623,7.717,81.7
1616,2024-08-10 13:00:00,2024-08-10,13:00:00,8,5,13,1,0,NoFestival,Ratnapura,Batticaloa,Southwest,Bus,Private,Southwest monsoon,0.0,30.3,63.9,183.6,51.0,NoIncident,36.0,353.8,83.9,1,6.7056,80.3847,7.717,81.7
3025,2025-05-15 07:00:00,2025-05-15,07:00:00,5,3,7,0,1,Vesak season,Batticaloa,Trincomalee,East,Private vehicle,Private,Southwest monsoon,11.67,30.1,69.5,110.5,1.0,NoIncident,78.0,297.3,160.6,1,7.717,81.7,8.5874,81.2152
1414,2024-01-16 06:00:00,2024-01-16,06:00:00,1,1,6,0,0,NoFestival,Kurunegala,Galle,Northwest,Bus,SLTB,Northeast monsoon,8.93,28.8,62.7,162.5,39.0,NoIncident,43.0,493.4,148.9,1,7.4863,80.3623,6.032,80.2168
764,2025-05-21 23:00:00,2025-05-21,23:00:00,5,2,23,0,0,NoFestival,Colombo,Ratnapura,Southwest,Bus,SLTB,Southwest monsoon,36.59,28.4,86.5,62.8,43.0,NoIncident,82.0,275.4,167.2,1,6.9271,79.8612,6.7056,80.3847
656,2025-11-13 15:00:00,2025-11-13,15:00:00,11,3,15,0,0,NoFestival,Kurunegala,Ratnapura,Northwest,Train,Sri Lanka Railways,Northeast monsoon,4.47,30.2,68.7,86.8,220.0,NoIncident,29.0,128.3,20.9,0,7.4863,80.3623,6.7056,80.3847
4798,2025-12-05 17:00:00,2025-12-05,17:00:00,12,4,17,0,1,NoFestival,Ratnapura,Batticaloa,Southwest,Train,Sri Lanka Railways,Northeast monsoon,12.28,29.6,75.4,183.6,272.0,NoIncident,61.0,280.7,116.1,1,6.7056,80.3847,7.717,81.7
3850,2025-02-20 04:00:00,2025-02-20,04:00:00,2,3,4,0,0,NoFestival,Kurunegala,Galle,Northwest,Tuk-tuk,Private,Inter-monsoon,9.0,28.6,73.2,162.5,2.0,NoIncident,,582.5,180.6,1,7.4863,80.3623,6.032,80.2168
4154,2024-01-28 18:00:00,2024-01-28,18:00:00,1,6,18,1,1,NoFestival,Colombo,Jaffna,Southwest,Bus,SLTB,Northeast monsoon,,29.4,68.7,304.6,45.0,NoIncident,63.0,600.0,56.1,0,6.9271,79.8612,9.6615,80.0255
469,2024-06-12 23:00:00,2024-06-12,23:00:00,6,2,23,0,0,NoFestival,Negombo,Ratnapura,Southwest,Bus,Private,Southwest monsoon,37.56,29.1,83.4,82.4,45.0,NoIncident,82.0,325.2,197.4,1,7.2083,79.8358,6.7056,80.3847
158,2024-09-15 04:00:00,2024-09-15,04:00:00,9,6,4,1,0,NoFestival,Ratnapura,Kurunegala,Southwest,Bus,SLTB,Southwest monsoon,0.0,28.9,72.8,86.8,27.0,NoIncident,22.0,159.4,22.3,0,6.7056,80.3847,7.4863,80.3623
1296,2025-01-14 06:00:00,2025-01-14,06:00:00,1,1,6,0,0,NoFestival,Kurunegala,Batticaloa,Northwest,Tuk-tuk,Private,Northeast monsoon,0.0,27.1,65.0,149.7,2.0,NoIncident,41.0,486.0,129.8,1,7.4863,80.3623,7.717,81.7
498,2024-02-21 16:00:00,2024-02-21,16:00:00,2,2,16,0,0,NoFestival,Galle,Colombo,Southwest,Motorcycle,Private,Inter-monsoon,0.0,29.7,53.7,107.0,1.0,NoIncident,58.0,162.3,63.8,1,6.032,80.2168,6.9271,79.8612
4741,2024-06-17 18:00:00,2024-06-17,18:00:00,6,0,18,0,1,NoFestival,Jaffna,Trincomalee,North,Bus,Private,Southwest monsoon,5.98,28.6,77.7,177.0,43.0,NoIncident,48.0,401.2,132.8,1,9.6615,80.0255,8.5874,81.2152
2941,2024-10-09 09:00:00,2024-10-09,09:00:00,10,2,9,0,1,NoFestival,Ratnapura,Kandy,Southwest,Private vehicle,Private,Northeast monsoon,9.73,30.8,76.3,70.6,1.0,NoIncident,52.0,153.1,55.7,0,6.7056,80.3847,7.2906,80.6337
3457,2024-05-04 22:00:00,2024-05-04,22:00:00,5,5,22,1,0,NoFestival,Galle,Anuradhapura,Southwest,Bus,Private,Southwest monsoon,12.43,28.5,73.1,254.3,53.0,NoIncident,55.0,600.0,126.0,1,6.032,80.2168,8.3114,80.4037
